[2023-11-27 20:12:46.929] START OF RECORDING:{DT_req;CallID;CgPn;DT_completion;status;DT_operator_resp;Operator_ID;call_duration_secunds}
[2023-11-27 20:17:03.645] 2023-11-27 20:17:03; 111; 120; 2023-11-27 20:17:03; OVERLOAD; -; -; -;
[2023-11-27 20:17:04.134] 2023-11-27 20:17:04; 112; 121; 2023-11-27 20:17:04; OVERLOAD; -; -; -;
[2023-11-27 20:17:04.487] 2023-11-27 20:16:59; 106; 116; 2023-11-27 20:17:04; TIMEOUT; -; -; -;
[2023-11-27 20:17:04.947] 2023-11-27 20:16:59; 107; 117; 2023-11-27 20:17:04; TIMEOUT; -; -; -;
[2023-11-27 20:17:05.330] 2023-11-27 20:17:00; 108; 11; 2023-11-27 20:17:05; TIMEOUT; -; -; -;
[2023-11-27 20:17:05.874] 2023-11-27 20:17:05; 116; 125; 2023-11-27 20:17:05; OVERLOAD; -; -; -;
[2023-11-27 20:17:06.018] 2023-11-27 20:17:01; 109; 118; 2023-11-27 20:17:06; TIMEOUT; -; -; -;
[2023-11-27 20:17:06.534] 2023-11-27 20:17:01; 110; 119; 2023-11-27 20:17:06; TIMEOUT; -; -; -;
[2023-11-27 20:17:07.480] 2023-11-27 20:17:07; 119; 128; 2023-11-27 20:17:07; OVERLOAD; -; -; -;
[2023-11-27 20:17:08.142] 2023-11-27 20:17:08; 120; 129; 2023-11-27 20:17:08; OVERLOAD; -; -; -;
[2023-11-27 20:17:08.682] 2023-11-27 20:16:59; 105; 115; 2023-11-27 20:17:08; OK; 20:16:59; 0; 9;
[2023-11-27 20:17:08.739] 2023-11-27 20:16:58; 103; 113; 2023-11-27 20:17:08; OK; 20:16:58; 3; 10;
[2023-11-27 20:17:10.394] 2023-11-27 20:17:05; 115; 124; 2023-11-27 20:17:10; TIMEOUT; -; -; -;
[2023-11-27 20:17:11.366] 2023-11-27 20:17:06; 117; 126; 2023-11-27 20:17:11; TIMEOUT; -; -; -;
[2023-11-27 20:17:11.852] 2023-11-27 20:17:06; 118; 127; 2023-11-27 20:17:11; TIMEOUT; -; -; -;
[2023-11-27 20:17:15.314] 2023-11-27 20:17:10; 121; 130; 2023-11-27 20:17:15; TIMEOUT; -; -; -;
[2023-11-27 20:17:16.889] 2023-11-27 20:16:57; 102; 112; 2023-11-27 20:17:16; OK; 20:16:57; 2; 19;
[2023-11-27 20:17:18.878] 2023-11-27 20:16:57; 101; 111; 2023-11-27 20:17:18; OK; 20:16:57; 1; 21;
[2023-11-27 20:17:20.172] 2023-11-27 20:17:04; 114; 123; 2023-11-27 20:17:20; OK; 20:17:08; 3; 11;
[2023-11-27 20:17:25.061] 2023-11-27 20:17:04; 113; 122; 2023-11-27 20:17:25; OK; 20:17:08; 0; 16;
[2023-11-27 20:17:33.920] 2023-11-27 20:16:58; 104; 114; 2023-11-27 20:17:33; OK; 20:16:58; 4; 35;
[2023-11-27 20:23:55.452] [2023-11-27 20:23:55] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-27 20:25:03.253] 2023-11-27 20:25:01 ; 101 ; 111 ; 2023-11-27 20:25:03 ; OK ; 20:25:01 ; 1 ; 2;
[2023-11-27 20:25:04.014] 2023-11-27 20:25:01 ; 102 ; 112 ; 2023-11-27 20:25:04 ; OK ; 20:25:01 ; 2 ; 2;
[2023-11-27 20:25:06.001] 2023-11-27 20:25:03 ; 106 ; 11 ; 2023-11-27 20:25:06 ; OK ; 20:25:04 ; 2 ; 1;
[2023-11-27 20:25:06.408] 2023-11-27 20:25:00 ; 100 ; 110 ; 2023-11-27 20:25:06 ; OK ; 20:25:00 ; 0 ; 5;
[2023-11-27 20:25:06.653] 2023-11-27 20:25:02 ; 105 ; 115 ; 2023-11-27 20:25:06 ; OK ; 20:25:03 ; 1 ; 3;
[2023-11-27 20:25:07.262] 2023-11-27 20:25:02 ; 104 ; 114 ; 2023-11-27 20:25:07 ; OK ; 20:25:02 ; 4 ; 4;
[2023-11-27 20:25:11.104] 2023-11-27 20:25:06 ; 111 ; 110 ; 2023-11-27 20:25:11 ; TIMEOUT ; - ; - ; -;
[2023-11-27 20:25:11.444] 2023-11-27 20:25:04 ; 107 ; 116 ; 2023-11-27 20:25:11 ; OK ; 20:25:06 ; 2 ; 5;
[2023-11-27 20:25:12.319] 2023-11-27 20:25:07 ; 112 ; 120 ; 2023-11-27 20:25:12 ; OK ; 20:25:11 ; 2 ; 0;
[2023-11-27 20:25:12.983] 2023-11-27 20:25:05 ; 109 ; 118 ; 2023-11-27 20:25:12 ; OK ; 20:25:06 ; 1 ; 6;
[2023-11-27 20:25:13.942] 2023-11-27 20:25:13 ; 120 ; 128 ; 2023-11-27 20:25:13 ; OVERLOAD ; - ; - ; -;
[2023-11-27 20:25:14.101] 2023-11-27 20:25:04 ; 108 ; 117 ; 2023-11-27 20:25:14 ; OK ; 20:25:06 ; 0 ; 7;
[2023-11-27 20:25:15.855] 2023-11-27 20:25:15 ; 122 ; 130 ; 2023-11-27 20:25:15 ; OVERLOAD ; - ; - ; -;
[2023-11-27 20:25:16.210] 2023-11-27 20:25:11 ; 116 ; 125 ; 2023-11-27 20:25:16 ; TIMEOUT ; - ; - ; -;
[2023-11-27 20:25:16.375] 2023-11-27 20:25:01 ; 103 ; 113 ; 2023-11-27 20:25:16 ; OK ; 20:25:01 ; 3 ; 14;
[2023-11-27 20:25:16.581] 2023-11-27 20:25:09 ; 114 ; 123 ; 2023-11-27 20:25:16 ; OK ; 20:25:12 ; 1 ; 3;
[2023-11-27 20:25:18.399] 2023-11-27 20:25:13 ; 119 ; 127 ; 2023-11-27 20:25:18 ; TIMEOUT ; - ; - ; -;
[2023-11-27 20:25:18.531] 2023-11-27 20:25:12 ; 118 ; 126 ; 2023-11-27 20:25:18 ; OK ; 20:25:16 ; 1 ; 1;
[2023-11-27 20:25:19.511] 2023-11-27 20:25:19 ; 128 ; 136 ; 2023-11-27 20:25:19 ; OVERLOAD ; - ; - ; -;
[2023-11-27 20:25:20.059] 2023-11-27 20:25:20 ; 129 ; 137 ; 2023-11-27 20:25:20 ; OVERLOAD ; - ; - ; -;
[2023-11-27 20:25:20.576] 2023-11-27 20:25:20 ; 130 ; 138 ; 2023-11-27 20:25:20 ; OVERLOAD ; - ; - ; -;
[2023-11-27 20:25:21.151] 2023-11-27 20:25:21 ; 131 ; 139 ; 2023-11-27 20:25:21 ; OVERLOAD ; - ; - ; -;
[2023-11-27 20:25:21.946] 2023-11-27 20:25:16 ; 123 ; 131 ; 2023-11-27 20:25:21 ; TIMEOUT ; - ; - ; -;
[2023-11-27 20:25:22.488] 2023-11-27 20:25:17 ; 124 ; 132 ; 2023-11-27 20:25:22 ; TIMEOUT ; - ; - ; -;
[2023-11-27 20:25:22.898] 2023-11-27 20:25:17 ; 125 ; 133 ; 2023-11-27 20:25:22 ; TIMEOUT ; - ; - ; -;
[2023-11-27 20:25:23.443] 2023-11-27 20:25:18 ; 126 ; 134 ; 2023-11-27 20:25:23 ; TIMEOUT ; - ; - ; -;
[2023-11-27 20:25:23.930] 2023-11-27 20:25:18 ; 127 ; 135 ; 2023-11-27 20:25:23 ; TIMEOUT ; - ; - ; -;
[2023-11-27 20:25:24.153] 2023-11-27 20:25:14 ; 121 ; 129 ; 2023-11-27 20:25:24 ; OK ; 20:25:18 ; 1 ; 5;
[2023-11-27 20:25:24.713] 2023-11-27 20:25:11 ; 117 ; 124 ; 2023-11-27 20:25:24 ; OK ; 20:25:16 ; 3 ; 8;
[2023-11-27 20:25:27.054] 2023-11-27 20:25:05 ; 110 ; 119 ; 2023-11-27 20:25:27 ; OK ; 20:25:07 ; 4 ; 19;
[2023-11-27 20:25:30.668] 2023-11-27 20:25:08 ; 113 ; 122 ; 2023-11-27 20:25:30 ; OK ; 20:25:12 ; 2 ; 18;
[2023-11-27 20:25:43.105] 2023-11-27 20:25:10 ; 115 ; 121 ; 2023-11-27 20:25:43 ; OK ; 20:25:14 ; 0 ; 29;
[2023-11-27 20:27:30] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
2023-11-27 20:27:37 ; 104 ; 114 ; 2023-11-27 20:27:41 ; OK ; 20:27:37 ; 4 ; 3;
2023-11-27 20:27:36 ; 100 ; 110 ; 2023-11-27 20:27:41 ; OK ; 20:27:36 ; 0 ; 5;
2023-11-27 20:27:43 ; 112 ; 122 ; 2023-11-27 20:27:43 ; OVERLOAD ; - ; - ; -;
2023-11-27 20:27:43 ; 113 ; 123 ; 2023-11-27 20:27:43 ; OVERLOAD ; - ; - ; -;
2023-11-27 20:27:43 ; 114 ; 124 ; 2023-11-27 20:27:43 ; OVERLOAD ; - ; - ; -;
2023-11-27 20:27:37 ; 103 ; 113 ; 2023-11-27 20:27:44 ; OK ; 20:27:37 ; 3 ; 6;
2023-11-27 20:27:39 ; 108 ; 118 ; 2023-11-27 20:27:44 ; TIMEOUT ; - ; - ; -;
2023-11-27 20:27:40 ; 109 ; 11 ; 2023-11-27 20:27:45 ; TIMEOUT ; - ; - ; -;
2023-11-27 20:27:38 ; 106 ; 116 ; 2023-11-27 20:27:45 ; OK ; 20:27:41 ; 0 ; 3;
2023-11-27 20:27:46 ; 119 ; 128 ; 2023-11-27 20:27:46 ; OVERLOAD ; - ; - ; -;
2023-11-27 20:27:42 ; 111 ; 121 ; 2023-11-27 20:27:47 ; TIMEOUT ; - ; - ; -;
2023-11-27 20:27:36 ; 101 ; 111 ; 2023-11-27 20:27:47 ; OK ; 20:27:36 ; 1 ; 11;
2023-11-27 20:27:44 ; 115 ; 125 ; 2023-11-27 20:27:48 ; OK ; 20:27:47 ; 1 ; 0;
2023-11-27 20:27:38 ; 105 ; 115 ; 2023-11-27 20:27:48 ; OK ; 20:27:41 ; 4 ; 7;
2023-11-27 20:27:42 ; 110 ; 120 ; 2023-11-27 20:27:48 ; OK ; 20:27:45 ; 0 ; 3;
2023-11-27 20:27:45 ; 116 ; 126 ; 2023-11-27 20:27:51 ; OK ; 20:27:48 ; 1 ; 3;
2023-11-27 20:27:45 ; 117 ; 12 ; 2023-11-27 20:27:52 ; OK ; 20:27:48 ; 4 ; 3;
2023-11-27 20:27:56 ; 127 ; 137 ; 2023-11-27 20:27:56 ; OVERLOAD ; - ; - ; -;
2023-11-27 20:27:51 ; 121 ; 130 ; 2023-11-27 20:27:56 ; OK ; 20:27:52 ; 4 ; 4;
2023-11-27 20:27:52 ; 123 ; 132 ; 2023-11-27 20:27:57 ; TIMEOUT ; - ; - ; -;
2023-11-27 20:27:53 ; 124 ; 133 ; 2023-11-27 20:27:58 ; TIMEOUT ; - ; - ; -;
2023-11-27 20:27:37 ; 102 ; 112 ; 2023-11-27 20:27:58 ; OK ; 20:27:37 ; 2 ; 21;
2023-11-27 20:27:55 ; 126 ; 136 ; 2023-11-27 20:28:00 ; TIMEOUT ; - ; - ; -;
2023-11-27 20:27:57 ; 128 ; 138 ; 2023-11-27 20:28:02 ; TIMEOUT ; - ; - ; -;
2023-11-27 20:27:46 ; 118 ; 127 ; 2023-11-27 20:28:02 ; OK ; 20:27:48 ; 0 ; 13;
2023-11-27 20:27:39 ; 107 ; 117 ; 2023-11-27 20:28:07 ; OK ; 20:27:44 ; 3 ; 23;
2023-11-27 20:27:58 ; 129 ; 139 ; 2023-11-27 20:28:09 ; OK ; 20:28:02 ; 0 ; 6;
2023-11-27 20:27:53 ; 125 ; 134 ; 2023-11-27 20:28:18 ; OK ; 20:27:58 ; 2 ; 19;
2023-11-27 20:27:48 ; 120 ; 129 ; 2023-11-27 20:28:19 ; OK ; 20:27:51 ; 1 ; 27;
2023-11-27 20:27:52 ; 122 ; 131 ; 2023-11-27 20:28:25 ; OK ; 20:27:56 ; 4 ; 28;
[2023-11-27 23:47:16] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
2023-11-27 23:47:36 ; 100 ; 101 ; 2023-11-27 23:47:37 ; OK ; 23:47:36 ; 0 ; 0;
2023-11-27 23:47:38 ; 101 ; 102 ; 2023-11-27 23:47:39 ; OK ; 23:47:38 ; 1 ; 1;
2023-11-27 23:47:39 ; 103 ; 104 ; 2023-11-27 23:47:41 ; OK ; 23:47:39 ; 3 ; 1;
2023-11-27 23:47:40 ; 105 ; 106 ; 2023-11-27 23:47:41 ; OK ; 23:47:40 ; 0 ; 0;
2023-11-27 23:47:46 ; 114 ; 114 ; 2023-11-27 23:47:46 ; OVERLOAD ; - ; - ; -;
2023-11-27 23:47:42 ; 107 ; 107 ; 2023-11-27 23:47:47 ; OK ; 23:47:42 ; 3 ; 4;
2023-11-27 23:47:47 ; 116 ; 116 ; 2023-11-27 23:47:47 ; OVERLOAD ; - ; - ; -;
2023-11-27 23:47:48 ; 117 ; 117 ; 2023-11-27 23:47:48 ; OVERLOAD ; - ; - ; -;
2023-11-27 23:47:42 ; 108 ; 108 ; 2023-11-27 23:47:48 ; OK ; 23:47:42 ; 0 ; 5;
2023-11-27 23:47:45 ; 111 ; 111 ; 2023-11-27 23:47:50 ; TIMEOUT ; - ; - ; -;
2023-11-27 23:47:45 ; 112 ; 112 ; 2023-11-27 23:47:50 ; TIMEOUT ; - ; - ; -;
2023-11-27 23:47:43 ; 109 ; 109 ; 2023-11-27 23:47:51 ; OK ; 23:47:47 ; 3 ; 4;
2023-11-27 23:47:41 ; 106 ; 10 ; 2023-11-27 23:47:51 ; OK ; 23:47:41 ; 1 ; 10;
2023-11-27 23:47:46 ; 113 ; 113 ; 2023-11-27 23:47:54 ; OK ; 23:47:51 ; 3 ; 3;
2023-11-27 23:47:39 ; 102 ; 103 ; 2023-11-27 23:47:55 ; OK ; 23:47:39 ; 2 ; 16;
2023-11-27 23:47:47 ; 115 ; 115 ; 2023-11-27 23:47:56 ; OK ; 23:47:51 ; 1 ; 5;
[2023-11-28 21:52:35] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-28 22:02:43] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-28 23:52:27] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:24:48] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:31:39] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:32:25] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:33:01] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:33:08] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:33:16] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:33:26] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:33:38] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:34:12] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:34:30] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:35:10] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:35:14] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:35:15] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:35:15] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:35:16] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:36:57] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:44:55] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:44:55] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:44:55] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:45:22] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:45:22] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:45:22] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:45:53] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:45:53] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:45:53] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:46:26] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:46:42] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:55:25] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:55:26] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 01:55:26] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 02:02:38] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 02:02:38] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 02:07:48] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 02:07:48] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-11-30 02:07:48] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-12-01 18:16:32] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-12-01 18:16:32] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-12-01 18:20:03] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-12-01 18:20:03] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-12-01 18:21:36] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-12-01 18:23:19] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
[2023-12-01 18:23:19] START OF RECORDING: DT_req; CallID; CgPn; DT_completion; status; DT_operator_resp; Operator_ID; call_duration_secunds;
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
2023-12-02 18:06:46.317 ; 112 ; 100 ; 2023-12-02 18:06:46.318 ; TIMEOUT ; - ; - ; -;
2023-12-02 18:06:46.317 ; 113 ; 101 ; 2023-12-02 18:06:46.318 ; TIMEOUT ; - ; - ; -;
2023-12-02 18:06:46.317 ; 114 ; 102 ; 2023-12-02 18:06:46.318 ; TIMEOUT ; - ; - ; -;
2023-12-02 18:06:46.317 ; 115 ; 103 ; 2023-12-02 18:06:46.318 ; TIMEOUT ; - ; - ; -;
2023-12-02 18:06:46.317 ; 116 ; 104 ; 2023-12-02 18:06:46.318 ; TIMEOUT ; - ; - ; -;
 
2023-12-02 18:15:40.26 ; 100 ; 101 ; 2023-12-02 18:15:46.648 ; OK ; 18:15:40.26 ; 0 ; 6;
2023-12-02 18:15:53.769 ; 101 ; 101 ; 2023-12-02 18:15:56.730 ; OK ; 18:15:53.769 ; 1 ; 2;
2023-12-02 18:16:30.844 ; 103 ; 101 ; 2023-12-02 18:16:31.296 ; OK ; 18:16:30.844 ; 3 ; 0;
2023-12-02 18:16:32.488 ; 106 ; 101 ; 2023-12-02 18:16:33.728 ; OK ; 18:16:32.489 ; 1 ; 1;
2023-12-02 18:16:31.776 ; 105 ; 10 ; 2023-12-02 18:16:34.936 ; OK ; 18:16:31.776 ; 0 ; 3;
2023-12-02 18:16:33.334 ; 107 ; 101 ; 2023-12-02 18:16:35.579 ; OK ; 18:16:33.334 ; 3 ; 2;
2023-12-02 18:16:31.329 ; 104 ; 101 ; 2023-12-02 18:16:36.544 ; OK ; 18:16:31.329 ; 4 ; 5;
2023-12-02 18:16:30.355 ; 102 ; 101 ; 2023-12-02 18:16:36.934 ; OK ; 18:16:30.356 ; 2 ; 6;
2023-12-02 18:16:34.26 ; 108 ; 101 ; 2023-12-02 18:16:36.980 ; OK ; 18:16:34.26 ; 1 ; 2;
2023-12-02 18:16:37.160 ; 112 ; 101 ; 2023-12-02 18:16:39.114 ; OK ; 18:16:37.160 ; 2 ; 1;
2023-12-02 18:16:40.73 ; 116 ; 101 ; 2023-12-02 18:16:40.73 ; ALREADY_IN_QUEUE ; - ; - ; -;
2023-12-02 18:16:40.887 ; 117 ; 101 ; 2023-12-02 18:16:40.887 ; ALREADY_IN_QUEUE ; - ; - ; -;
2023-12-02 18:16:41.630 ; 118 ; 101 ; 2023-12-02 18:16:41.630 ; ALREADY_IN_QUEUE ; - ; - ; -;
2023-12-02 18:16:34.599 ; 109 ; 101 ; 2023-12-02 18:16:41.846 ; OK ; 18:16:34.936 ; 0 ; 6;
2023-12-02 18:16:35.129 ; 110 ; 101 ; 2023-12-02 18:16:42.579 ; OK ; 18:16:35.579 ; 3 ; 7;
2023-12-02 18:16:39.378 ; 115 ; 101 ; 2023-12-02 18:16:43.317 ; OK ; 18:16:41.846 ; 0 ; 1;
2023-12-02 18:16:44.219 ; 122 ; 101 ; 2023-12-02 18:16:44.219 ; ALREADY_IN_QUEUE ; - ; - ; -;
2023-12-02 18:16:44.798 ; 123 ; 101 ; 2023-12-02 18:16:44.798 ; ALREADY_IN_QUEUE ; - ; - ; -;
2023-12-02 18:16:42.358 ; 119 ; 101 ; 2023-12-02 18:16:45.105 ; OK ; 18:16:42.579 ; 3 ; 2;
2023-12-02 18:16:46.425 ; 125 ; 101 ; 2023-12-02 18:16:46.425 ; ALREADY_IN_QUEUE ; - ; - ; -;
2023-12-02 18:16:38.695 ; 114 ; 101 ; 2023-12-02 18:16:47.900 ; OK ; 18:16:39.114 ; 2 ; 8;
2023-12-02 18:16:43.575 ; 121 ; 101 ; 2023-12-02 18:16:47.958 ; OK ; 18:16:45.105 ; 3 ; 2;
2023-12-02 18:16:35.931 ; 111 ; 101 ; 2023-12-02 18:16:50.18 ; OK ; 18:16:36.544 ; 4 ; 13;
2023-12-02 18:16:51.174 ; 133 ; 109 ; 2023-12-02 18:16:51.174 ; OVERLOAD ; - ; - ; -;
2023-12-02 18:16:37.869 ; 113 ; 101 ; 2023-12-02 18:16:52.499 ; OK ; 18:16:37.869 ; 1 ; 14;
2023-12-02 18:16:54.963 ; 135 ; 111 ; 2023-12-02 18:16:54.963 ; OVERLOAD ; - ; - ; -;
2023-12-02 18:16:55.477 ; 136 ; 112 ; 2023-12-02 18:16:55.477 ; OVERLOAD ; - ; - ; -;
